,Pair 1,,,Pair 2,
,782,1.92,,782,2.5
,784,1.91,,784,2.51
,786,1.92,,786,2.51
,788,1.92,,788,2.51
,790,1.92,,790,2.51
,792,1.92,,792,2.53
,794,1.92,,794,2.53
,796,1.92,,796,2.52
,798,1.92,,798,2.53
,800,1.92,,800,2.52
,802,1.92,,802,2.52
,804,1.93,,804,2.53
,806,1.93,,806,2.52
,808,1.94,,808,2.53
,810,1.94,,810,2.54
,812,1.94,,812,2.54
,814,1.94,,814,2.53
,816,1.93,,816,2.54
,818,1.93,,818,2.53
,820,1.93,,820,2.54
,822,1.96,,822,2.54
,824,1.94,,824,2.56
,826,1.94,,826,2.55
,828,1.95,,828,2.56
,830,1.95,,830,2.56
,832,1.94,,832,2.56
,834,1.94,,834,2.55
,836,1.94,,836,2.56
,838,1.95,,838,2.57
,840,1.95,,840,2.55
,842,1.95,,842,2.56
,844,1.94,,844,2.56
,846,1.96,,846,2.57
,848,1.94,,848,2.57
,850,1.95,,850,2.57
,852,1.95,,852,2.58
,854,1.96,,854,2.58
,856,1.97,,856,2.58
,858,1.97,,858,2.58
,860,1.97,,860,2.59
,862,1.98,,862,2.58
,864,1.96,,864,2.59
,866,1.98,,866,2.59
,868,1.98,,868,2.59
,870,1.97,,870,2.59
,872,1.97,,872,2.59
,874,1.99,,874,2.59
,876,1.99,,876,2.6
,878,1.98,,878,2.59
,880,1.99,,880,2.6
,882,1.99,,882,2.6
,884,1.97,,884,2.61
,886,1.98,,886,2.62
,888,1.99,,888,2.61
,890,1.98,,890,2.61
,892,1.98,,892,2.61
,894,2,,894,2.62
,896,1.99,,896,2.62
,898,1.99,,898,2.61
,900,1.99,,900,2.62
,902,1.99,,902,2.63
,904,1.99,,904,2.63
,906,1.99,,906,2.63
,908,2,,908,2.62
,910,2.01,,910,2.63
,912,2,,912,2.63
,914,2,,914,2.63
,916,2.01,,916,2.62
,918,2,,918,2.62
,920,2,,920,2.62
,922,2.01,,922,2.63
,924,2.01,,924,2.64
,926,2,,926,2.64
,928,2.01,,928,2.65
,930,2.02,,930,2.64
,932,2.01,,932,2.64
,934,2.01,,934,2.64
,936,2.01,,936,2.64
,938,2.01,,938,2.64
,940,2,,940,2.64
,942,2.02,,942,2.64
,944,2.02,,944,2.64
,946,2.02,,946,2.65
,948,2.04,,948,2.65
,950,2.02,,950,2.65
,952,2.02,,952,2.65
,954,2.04,,954,2.65
,956,2.03,,956,2.66
,958,2.02,,958,2.66
,960,2.03,,960,2.66
,962,2.02,,962,2.66
,964,2.03,,964,2.66
,966,2.04,,966,2.66
,968,2.03,,968,2.68
,970,2.03,,970,2.67
,972,2.05,,972,2.67
,974,2.02,,974,2.68
,976,2.04,,976,2.67
,978,2.05,,978,2.68
,980,2.03,,980,2.67
,982,2.05,,982,2.68
,984,2.05,,984,2.68
,986,2.03,,986,2.68
,988,2.04,,988,2.68
,990,2.05,,990,2.67
,992,2.05,,992,2.68
,994,2.05,,994,2.69
,996,2.05,,996,2.69
,998,2.06,,998,2.69
,1000,2.06,,1000,2.69
,1002,2.06,,1002,2.67
,1004,2.06,,1004,2.69
,1006,2.06,,1006,2.69
,1008,2.05,,1008,2.69
,1010,2.06,,1010,2.69
,1012,2.06,,1012,2.69
,1014,2.05,,1014,2.69
,1016,2.06,,1016,2.69
,1018,2.06,,1018,2.7
,1020,2.05,,1020,2.71
,1022,2.06,,1022,2.71
,1024,2.07,,1024,2.7
,1026,2.07,,1026,2.71
,1028,2.07,,1028,2.7
,1030,2.07,,1030,2.71
,1032,2.08,,1032,2.71
,1034,2.08,,1034,2.7
,1036,2.07,,1036,2.7
,1038,2.08,,1038,2.71
,1040,2.08,,1040,2.7
,1042,2.09,,1042,2.71
,1044,2.09,,1044,2.72
,1046,2.09,,1046,2.72
,1048,2.09,,1048,2.7
,1050,2.09,,1050,2.7
,1052,2.09,,1052,2.71
,1054,2.09,,1054,2.71
,1056,2.09,,1056,2.71
,1058,2.09,,1058,2.72
,1060,2.08,,1060,2.72
,1062,2.09,,1062,2.73
,1064,2.09,,1064,2.73
,1066,2.09,,1066,2.71
,1068,2.09,,1068,2.72
,1070,2.09,,1070,2.72
,1072,2.1,,1072,2.73
,1074,2.1,,1074,2.72
,1076,2.11,,1076,2.72
,1078,2.11,,1078,2.74
,1080,2.11,,1080,2.73
,1082,2.11,,1082,2.74
,1084,2.1,,1084,2.74
,1086,2.1,,1086,2.73
,1088,2.11,,1088,2.73
,1090,2.12,,1090,2.74
,1092,2.12,,1092,2.74
,1094,2.12,,1094,2.75
,1096,2.11,,1096,2.73
,1098,2.13,,1098,2.74
,1100,2.13,,1100,2.75
,1102,2.12,,1102,2.75
,1104,2.11,,1104,2.74
,1106,2.11,,1106,2.75
,1108,2.13,,1108,2.75
,1110,2.13,,1110,2.75
,1112,2.12,,1112,2.74
,1114,2.12,,1114,2.75
,1116,2.13,,1116,2.76
,1118,2.12,,1118,2.76
,1120,2.13,,1120,2.77
,1122,2.12,,1122,2.76
,1124,2.13,,1124,2.76
,1126,2.13,,1126,2.76
,1128,2.13,,1128,2.76
,1130,2.13,,1130,2.76
,1132,2.13,,1132,2.76
,1134,2.14,,1134,2.76
,1136,2.13,,1136,2.75
,1138,2.14,,1138,2.76
,1140,2.15,,1140,2.77
,1142,2.14,,1142,2.77
,1144,2.13,,1144,2.77
,1146,2.14,,1146,2.78
,1148,2.14,,1148,2.79
,1150,2.15,,1150,2.78
,1152,2.15,,1152,2.77
,1154,2.15,,1154,2.79
,1156,2.16,,1156,2.78
,1158,2.15,,1158,2.79
,1160,2.15,,1160,2.79
,1162,2.16,,1162,2.8
,1164,2.16,,1164,2.79
,1166,2.16,,1166,2.79
,1168,2.16,,1168,2.8
,1170,2.16,,1170,2.79
,1172,2.15,,1172,2.79
,1174,2.16,,1174,2.79
,1176,2.17,,1176,2.78
,1178,2.17,,1178,2.79
,1180,2.17,,1180,2.79
,1182,2.16,,1182,2.8
,1184,2.17,,1184,2.8
,1186,2.16,,1186,2.8
,1188,2.17,,1188,2.8
,1190,2.17,,1190,2.81
,1192,2.18,,1192,2.8
,1194,2.18,,1194,2.8
,1196,2.18,,1196,2.81
,1198,2.17,,1198,2.8
,1200,2.17,,1200,2.81
,1202,2.18,,1202,2.82
,1204,2.16,,1204,2.82
,1206,2.18,,1206,2.81
,1208,2.18,,1208,2.82
,1210,2.18,,1210,2.81
,1212,2.19,,1212,2.82
,1214,2.18,,1214,2.82
,1216,2.2,,1216,2.82
,1218,2.18,,1218,2.81
,1220,2.19,,1220,2.82
,1222,2.18,,1222,2.82
,1224,2.18,,1224,2.82
,1226,2.19,,1226,2.83
,1228,2.2,,1228,2.83
,1230,2.19,,1230,2.82
,1232,2.19,,1232,2.83
,1234,2.2,,1234,2.83
,1236,2.18,,1236,2.83
,1238,2.18,,1238,2.83
,1240,2.18,,1240,2.83
,1242,2.19,,1242,2.85
,1244,2.19,,1244,2.84
,1246,2.19,,1246,2.83
,1248,2.19,,1248,2.84
,1250,2.19,,1250,2.85
,1252,2.2,,1252,2.84
,1254,2.2,,1254,2.84
,1256,2.2,,1256,2.85
,1258,2.19,,1258,2.85
,1260,2.19,,1260,2.84
,1262,2.2,,1262,2.84
,1264,2.21,,1264,2.86
,1266,2.22,,1266,2.85
,1268,2.21,,1268,2.86
,1270,2.21,,1270,2.84
,1272,2.22,,1272,2.86
,1274,2.22,,1274,2.85
,1276,2.22,,1276,2.85
,1278,2.22,,1278,2.86
,1280,2.21,,1280,2.86
,1282,2.22,,1282,2.87
,1284,2.21,,1284,2.86
,1286,2.21,,1286,2.86
,1288,2.22,,1288,2.86
,1290,2.21,,1290,2.87
,1292,2.21,,1292,2.87
,1294,2.22,,1294,2.88
,1296,2.22,,1296,2.87
,1298,2.23,,1298,2.86
,1300,2.22,,1300,2.88
,1302,2.23,,1302,2.87
,1304,2.23,,1304,2.86
,1306,2.22,,1306,2.88
,1308,2.22,,1308,2.87
,1310,2.22,,1310,2.86
,1312,2.24,,1312,2.87
,1314,2.21,,1314,2.87
,1316,2.23,,1316,2.87
,1318,2.22,,1318,2.87
,1320,2.23,,1320,2.87
,1322,2.23,,1322,2.88
,1324,2.23,,1324,2.88
,1326,2.22,,1326,2.89
,1328,2.24,,1328,2.87
,1330,2.22,,1330,2.88
,1332,2.24,,1332,2.88
,1334,2.24,,1334,2.89
,1336,2.23,,1336,2.89
,1338,2.24,,1338,2.89
,1340,2.23,,1340,2.89
,1342,2.23,,1342,2.89
,1344,2.24,,1344,2.9
,1346,2.23,,1346,2.9
,1348,2.23,,1348,2.89
,1350,2.25,,1350,2.89
,1352,2.25,,1352,2.89
,1354,2.24,,1354,2.9
,1356,2.25,,1356,2.88
,1358,2.24,,1358,2.89
,1360,2.24,,1360,2.9
,1362,2.24,,1362,2.9
,1364,2.26,,1364,2.9
,1366,2.26,,1366,2.91
,1368,2.25,,1368,2.91
,1370,2.26,,1370,2.91
,1372,2.26,,1372,2.91
,1374,2.26,,1374,2.91
,1376,2.25,,1376,2.91
,1378,2.26,,1378,2.9
,1380,2.26,,1380,2.91
,1382,2.26,,1382,2.92
,1384,2.25,,1384,2.92
,1386,2.25,,1386,2.92
,1388,2.26,,1388,2.92
,1390,2.26,,1390,2.93
,1392,2.26,,1392,2.92
,1394,2.26,,1394,2.93
,1396,2.26,,1396,2.92
,1398,2.26,,1398,2.93
,1400,2.27,,1400,2.92
,1402,2.25,,1402,2.93
,1404,2.27,,1404,2.93
,1406,2.27,,1406,2.93
,1408,2.26,,1408,2.93
,1410,2.26,,1410,2.93
,1412,2.26,,1412,2.94
,1414,2.26,,1414,2.94
,1416,2.26,,1416,2.93
,1418,2.26,,1418,2.95
,1420,2.26,,1420,2.93
,1422,2.26,,1422,2.93
,1424,2.26,,1424,2.95
,1426,2.26,,1426,2.93
,1428,2.29,,1428,2.95
,1430,2.27,,1430,2.94
,1432,2.28,,1432,2.94
,1434,2.28,,1434,2.95
,1436,2.28,,1436,2.95
,1438,2.28,,1438,2.94
,1440,2.28,,1440,2.94
,1442,2.26,,1442,2.95
,1444,2.29,,1444,2.94
,1446,2.28,,1446,2.94
,1448,2.28,,1448,2.95
,1450,2.29,,1450,2.95
,1452,2.3,,1452,2.95
,1454,2.28,,1454,2.96
,1456,2.29,,1456,2.96
,1458,2.29,,1458,2.96
,1460,2.28,,1460,2.95
,1462,2.29,,1462,2.96
,1464,2.3,,1464,2.96
,1466,2.3,,1466,2.96
,1468,2.3,,1468,2.97
,1470,2.29,,1470,2.98
,1472,2.3,,1472,2.98
,1474,2.3,,1474,2.96
,1476,2.29,,1476,2.97
,1478,2.3,,1478,2.96
,1480,2.31,,1480,2.96
,1482,2.31,,1482,2.98
,1484,2.3,,1484,2.97
,1486,2.31,,1486,2.97
,1488,2.31,,1488,2.98
,1490,2.31,,1490,2.98
,1492,2.29,,1492,2.97
,1494,2.3,,1494,2.97
,1496,2.31,,1496,2.95
,1498,2.31,,1498,2.98
,1500,2.3,,1500,2.98
,1502,2.31,,1502,2.97
,1504,2.32,,1504,2.97
,1506,2.32,,1506,2.96
,1508,2.32,,1508,2.97
,1510,2.32,,1510,2.97
,1512,2.33,,1512,2.97
,1514,2.31,,1514,2.98
,1516,2.32,,1516,2.99
,1518,2.33,,1518,2.99
,1520,2.33,,1520,2.98
,1522,2.33,,1522,2.97
,1524,2.33,,1524,2.99
,1526,2.32,,1526,2.99
,1528,2.33,,1528,2.99
,1530,2.32,,1530,2.99
,1532,2.33,,1532,2.99
,1534,2.33,,1534,2.98
,1536,2.33,,1536,3
,1538,2.33,,1538,2.98
,1540,2.33,,1540,3
,1542,2.32,,1542,2.99
,1544,2.33,,1544,3
,1546,2.33,,1546,2.99
,1548,2.33,,1548,3
,1550,2.33,,1550,3
,1552,2.33,,1552,2.99
,1554,2.33,,1554,3.01
,1556,2.33,,1556,3
,1558,2.34,,1558,3
,1560,2.33,,1560,3
,1562,2.34,,1562,3.01
,1564,2.34,,1564,3.02
,1566,2.35,,1566,3.01
,1568,2.34,,1568,3.02
,1570,2.34,,1570,3.02
,1572,2.35,,1572,3.02
,1574,2.35,,1574,3.02
,1576,2.35,,1576,3
,1578,2.35,,1578,3.02
,1580,2.34,,1580,3.01
,1582,2.34,,1582,3.01
,1584,2.34,,1584,3.02
,1586,2.36,,1586,3.01
,1588,2.35,,1588,3.02
,1590,2.34,,1590,3.02
,1592,2.34,,1592,3.01
,1594,2.34,,1594,3.01
,1596,2.35,,1596,3.02
,1598,2.35,,1598,3.03
,1600,2.36,,1600,3.03
,1602,2.36,,1602,3.03
,1604,2.37,,1604,3.02
,1606,2.35,,1606,3.02
,1608,2.36,,1608,3.03
,1610,2.35,,1610,3.03
,1612,2.36,,1612,3.04
,1614,2.36,,1614,3.02
,1616,2.36,,1616,3.03
,1618,2.35,,1618,3.03
,1620,2.35,,1620,3.03
,1622,2.37,,1622,3.03
,1624,2.36,,1624,3.04
,1626,2.36,,1626,3.03
,1628,2.36,,1628,3.03
,1630,2.35,,1630,3.02
,1632,2.35,,1632,3.03
,1634,2.36,,1634,3.03
,1636,2.36,,1636,3.03
,1638,2.37,,1638,3.04
,1640,2.37,,1640,3.03
,1642,2.36,,1642,3.04
,1644,2.37,,1644,3.03
,1646,2.36,,1646,3.04
,1648,2.36,,1648,3.03
,1650,2.37,,1650,3.04
,1652,2.37,,1652,3.03
,1654,2.38,,1654,3.04
,1656,2.37,,1656,3.04
,1658,2.38,,1658,3.05
,1660,2.38,,1660,3.05
,1662,2.38,,1662,3.04
,1664,2.38,,1664,3.04
,1666,2.38,,1666,3.04
,1668,2.39,,1668,3.04
,1670,2.38,,1670,3.05
,1672,2.38,,1672,3.05
,1674,2.39,,1674,3.05
,1676,2.37,,1676,3.05
,1678,2.38,,1678,3.06
,1680,2.38,,1680,3.05
,1682,2.38,,1682,3.06
,1684,2.38,,1684,3.06
,1686,2.39,,1686,3.06
,1688,2.39,,1688,3.06
,1690,2.39,,1690,3.07
,1692,2.39,,1692,3.06
,1694,2.39,,1694,3.06
,1696,2.39,,1696,3.06
,1698,2.39,,1698,3.05
,1700,2.4,,1700,3.06
,1702,2.38,,1702,3.07
,1704,2.4,,1704,3.06
,1706,2.4,,1706,3.05
,1708,2.39,,1708,3.07
,1710,2.4,,1710,3.06
,1712,2.4,,1712,3.05
,1714,2.4,,1714,3.05
,1716,2.4,,1716,3.07
,1718,2.41,,1718,3.06
,1720,2.4,,1720,3.07
,1722,2.4,,1722,3.07
,1724,2.41,,1724,3.06
,1726,2.4,,1726,3.07
,1728,2.4,,1728,3.07
,1730,2.4,,1730,3.07
,1732,2.41,,1732,3.07
,1734,2.4,,1734,3.08
,1736,2.4,,1736,3.08
,1738,2.41,,1738,3.09
,1740,2.41,,1740,3.08
,1742,2.41,,1742,3.07
,1744,2.41,,1744,3.07
,1746,2.41,,1746,3.08
,1748,2.41,,1748,3.08
,1750,2.41,,1750,3.08
,1752,2.42,,1752,3.08
,1754,2.42,,1754,3.08
,1756,2.42,,1756,3.09
,1758,2.42,,1758,3.09
,1760,2.41,,1760,3.08
,1762,2.42,,1762,3.08
,1764,2.42,,1764,3.09
,1766,2.42,,1766,3.08
,1768,2.41,,1768,3.09
,1770,2.41,,1770,3.09
,1772,2.42,,1772,3.08
,1774,2.41,,1774,3.08
,1776,2.41,,1776,3.1
,1778,2.42,,1778,3.09
,1780,2.42,,1780,3.1
,1782,2.41,,1782,3.1
,1784,2.41,,1784,3.1
,1786,2.43,,1786,3.1
,1788,2.42,,1788,3.09
,1790,2.42,,1790,3.11
,1792,2.44,,1792,3.1
,1794,2.44,,1794,3.1
,1796,2.44,,1796,3.1
,1798,2.43,,1798,3.1
,1800,2.43,,1800,3.1
,1802,2.43,,1802,3.1
,1804,2.43,,1804,3.1
,1806,2.44,,1806,3.1
,1808,2.44,,1808,3.09
,1810,2.45,,1810,3.1
,1812,2.44,,1812,3.1
,1814,2.44,,1814,3.1
,1816,2.42,,1816,3.1
,1818,2.43,,1818,3.12
,1820,2.43,,1820,3.12
,1822,2.45,,1822,3.12
,1824,2.44,,1824,3.11
,1826,2.42,,1826,3.11
,1828,2.45,,1828,3.1
,1830,2.44,,1830,3.1
,1832,2.43,,1832,3.11
,1834,2.44,,1834,3.11
,1836,2.45,,1836,3.1
,1838,2.44,,1838,3.12
,1840,2.44,,1840,3.13
,1842,2.45,,1842,3.11
,1844,2.44,,1844,3.12
,1846,2.45,,1846,3.12
,1848,2.45,,1848,3.11
,1850,2.44,,1850,3.12
,1852,2.43,,1852,3.12
,1854,2.44,,1854,3.11
,1856,2.45,,1856,3.11
,1858,2.46,,1858,3.12
,1860,2.46,,1860,3.12
,1862,2.46,,1862,3.11
,1864,2.47,,1864,3.12
,1866,2.44,,1866,3.12
,1868,2.45,,1868,3.12
,1870,2.45,,1870,3.12
,1872,2.45,,1872,3.13
,1874,2.44,,1874,3.14
